66	41	63.833
50	53	65.57
61	46	57.59
67	71	82.501
69	50	77.844
48	17	36.054
10	0	23.575
67	39	65.01
19	10	35.793
67	57	77.13
83	82	88.53
66	88	86.115
55	76	67.549
58	42	70.175
54	58	73.722
60	63	79.128
58	74	57.485
85	23	61.144
61	38	59.783
57	76	77.938
68	70	65.564
64	78	79.572
76	86	86.585
32	0	25.66
26	10	46.109
58	44	73.207
64	60	76.906
59	84	81.496
55	65	65.614
55	66	61.953
49	33	63.047
54	50	73.709
57	29	55.583
58	0	26.975
61	58	76.18
11	0	8.935
42	33	50.125
43	41	57.462
67	33	69.08
17	14	37.372
12	10	36.217
40	46	70.455
71	82	86.386
31	14	39.153
54	54	75.198
48	47	58.163
61	54	73.408
66	53	77.355
30	9	42.867
68	67	80.894
58	81	80.334
46	20	45.289
56	25	46.372
36	10	34.013
69	60	79.926
61	34	70.862
54	53	49.704
17	0	14.225
41	62	73.341
72	40	59.321
56	21	60.151
52	45	64.554
87	84	82.226
77	66	83.675
58	60	77.47
61	68	80.705
